metric,measure,point_index,abstention,risk,aurc
mose,differential_entropy_total,0,0.0,0.24773180157505365,0.24283112647801347
mose,differential_entropy_total,1,0.9499999999999953,0.24743050882418274,0.24283112647801347
mose,differential_entropy_total,2,1.9499999999999962,0.24716709626435873,0.24283112647801347
mose,differential_entropy_total,3,2.949999999999997,0.2476156917621284,0.24283112647801347
mose,differential_entropy_total,4,3.949999999999998,0.24754964532658835,0.24283112647801347
mose,differential_entropy_total,5,4.949999999999999,0.24771582443566825,0.24283112647801347
mose,differential_entropy_total,6,5.900000000000006,0.24766489080154677,0.24283112647801347
mose,differential_entropy_total,7,6.899999999999995,0.2475874748751615,0.24283112647801347
mose,differential_entropy_total,8,7.899999999999996,0.24761669600229202,0.24283112647801347
mose,differential_entropy_total,9,8.899999999999997,0.24809757395457838,0.24283112647801347
mose,differential_entropy_total,10,9.899999999999999,0.24818245246634632,0.24283112647801347
mose,differential_entropy_total,11,10.850000000000005,0.248419326919108,0.24283112647801347
mose,differential_entropy_total,12,11.850000000000005,0.24736904601002774,0.24283112647801347
mose,differential_entropy_total,13,12.849999999999994,0.24748645626215596,0.24283112647801347
mose,differential_entropy_total,14,13.849999999999996,0.24796661238442305,0.24283112647801347
mose,differential_entropy_total,15,14.849999999999996,0.2479725716801016,0.24283112647801347
mose,differential_entropy_total,16,15.800000000000002,0.2479244111121807,0.24283112647801347
mose,differential_entropy_total,17,16.800000000000004,0.2479502120473289,0.24283112647801347
mose,differential_entropy_total,18,17.800000000000004,0.24786503256919387,0.24283112647801347
mose,differential_entropy_total,19,18.799999999999994,0.24689689795391934,0.24283112647801347
mose,differential_entropy_total,20,19.799999999999997,0.24646735096540673,0.24283112647801347
mose,differential_entropy_total,21,20.75,0.2464325227008602,0.24283112647801347
mose,differential_entropy_total,22,21.750000000000004,0.24610321254698322,0.24283112647801347
mose,differential_entropy_total,23,22.750000000000004,0.24595070573625585,0.24283112647801347
mose,differential_entropy_total,24,23.750000000000004,0.24564164460608787,0.24283112647801347
mose,differential_entropy_total,25,24.750000000000007,0.2457820185896059,0.24283112647801347
mose,differential_entropy_total,26,25.7,0.24531623370245156,0.24283112647801347
mose,differential_entropy_total,27,26.700000000000003,0.24513929084878974,0.24283112647801347
mose,differential_entropy_total,28,27.700000000000003,0.24454164050545443,0.24283112647801347
