metric,measure,point_index,abstention,risk,aurc
moae,differential_entropy_total,0,0.0,0.4532921269510316,0.45881351767358936
moae,differential_entropy_total,1,0.990000000000002,0.4528416129503693,0.45881351767358936
moae,differential_entropy_total,2,1.980000000000004,0.452639626117143,0.45881351767358936
moae,differential_entropy_total,3,2.969999999999995,0.4524369657510845,0.45881351767358936
moae,differential_entropy_total,4,3.959999999999997,0.4522026854370038,0.45881351767358936
moae,differential_entropy_total,5,4.949999999999999,0.45187754314045925,0.45881351767358936
moae,differential_entropy_total,6,5.940000000000001,0.45158172521769874,0.45881351767358936
moae,differential_entropy_total,7,6.930000000000003,0.45139465208970847,0.45881351767358936
moae,differential_entropy_total,8,7.920000000000005,0.45099017213157794,0.45881351767358936
moae,differential_entropy_total,9,8.909999999999997,0.45070727950243955,0.45881351767358936
moae,differential_entropy_total,10,9.899999999999999,0.4502989747243257,0.45881351767358936
moae,differential_entropy_total,11,10.89,0.4500897832302261,0.45881351767358936
moae,differential_entropy_total,12,11.880000000000003,0.4498455162995517,0.45881351767358936
moae,differential_entropy_total,13,12.870000000000005,0.4494949923208713,0.45881351767358936
moae,differential_entropy_total,14,13.859999999999994,0.44916161050729275,0.45881351767358936
moae,differential_entropy_total,15,14.849999999999996,0.44870019763295527,0.45881351767358936
moae,differential_entropy_total,16,15.839999999999998,0.44840985895835345,0.45881351767358936
moae,differential_entropy_total,17,16.830000000000002,0.44801876356537634,0.45881351767358936
moae,differential_entropy_total,18,17.820000000000004,0.4477591230518679,0.45881351767358936
moae,differential_entropy_total,19,18.810000000000006,0.4474360820047021,0.45881351767358936
moae,differential_entropy_total,20,19.799999999999997,0.4470971835947367,0.45881351767358936
moae,differential_entropy_total,21,20.79,0.4466777465321557,0.45881351767358936
moae,differential_entropy_total,22,21.78,0.44628271806295006,0.45881351767358936
moae,differential_entropy_total,23,22.770000000000003,0.4456403702270819,0.45881351767358936
moae,differential_entropy_total,24,23.760000000000005,0.44553350303422734,0.45881351767358936
moae,differential_entropy_total,25,24.750000000000007,0.4450837942632423,0.45881351767358936
moae,differential_entropy_total,26,25.739999999999995,0.4445403489224248,0.45881351767358936
moae,differential_entropy_total,27,26.729999999999997,0.4440791231809204,0.45881351767358936
moae,differential_entropy_total,28,27.72,0.4435024582217987,0.45881351767358936
moae,differential_entropy_total,29,28.71,0.4431189340274615,0.45881351767358936
moae,differential_entropy_total,30,29.700000000000003,0.442647268696101,0.45881351767358936
moae,differential_entropy_total,31,30.689999999999994,0.44209419065033906,0.45881351767358936
moae,differential_entropy_total,32,31.679999999999996,0.4415777895213914,0.45881351767358936
moae,differential_entropy_total,33,32.67,0.4411097031639081,0.45881351767358936
moae,differential_entropy_total,34,33.660000000000004,0.4407901521133072,0.45881351767358936
moae,differential_entropy_total,35,34.650000000000006,0.4413070976390275,0.45881351767358936
moae,differential_entropy_total,36,35.64000000000001,0.44204518443540913,0.45881351767358936
moae,differential_entropy_total,37,36.629999999999995,0.4422539658103664,0.45881351767358936
moae,differential_entropy_total,38,37.62,0.4428647854632403,0.45881351767358936
moae,differential_entropy_total,39,38.61,0.4437077476870866,0.45881351767358936
moae,differential_entropy_total,40,39.6,0.4448253245174622,0.45881351767358936
moae,differential_entropy_total,41,40.59,0.44525956300348446,0.45881351767358936
moae,differential_entropy_total,42,41.58,0.4457599930057629,0.45881351767358936
moae,differential_entropy_total,43,42.56999999999999,0.44664126938370147,0.45881351767358936
moae,differential_entropy_total,44,43.56,0.4477165818056033,0.45881351767358936
moae,differential_entropy_total,45,44.55,0.44895784454245,0.45881351767358936
moae,differential_entropy_total,46,45.540000000000006,0.44996981270969744,0.45881351767358936
moae,differential_entropy_total,47,46.53,0.4511621733459469,0.45881351767358936
moae,differential_entropy_total,48,47.519999999999996,0.4516898907590288,0.45881351767358936
moae,differential_entropy_total,49,48.51,0.4524265822334839,0.45881351767358936
moae,differential_entropy_total,50,49.5,0.4538303655739867,0.45881351767358936
moae,differential_entropy_total,51,50.495000000000005,0.45518825024641085,0.45881351767358936
moae,differential_entropy_total,52,51.485,0.4567471182890433,0.45881351767358936
moae,differential_entropy_total,53,52.47500000000001,0.4581869373725762,0.45881351767358936
moae,differential_entropy_total,54,53.465,0.4591710544700925,0.45881351767358936
moae,differential_entropy_total,55,54.455,0.46011594244315696,0.45881351767358936
moae,differential_entropy_total,56,55.445,0.4616451283900502,0.45881351767358936
moae,differential_entropy_total,57,56.435,0.4633233221805583,0.45881351767358936
moae,differential_entropy_total,58,57.42499999999999,0.4650175307024687,0.45881351767358936
moae,differential_entropy_total,59,58.41499999999999,0.46624440703222664,0.45881351767358936
moae,differential_entropy_total,60,59.404999999999994,0.4680507705368583,0.45881351767358936
moae,differential_entropy_total,61,60.394999999999996,0.4697451400648908,0.45881351767358936
moae,differential_entropy_total,62,61.385,0.4711780675470103,0.45881351767358936
moae,differential_entropy_total,63,62.375,0.4738243170956054,0.45881351767358936
moae,differential_entropy_total,64,63.365,0.4751865083760874,0.45881351767358936
moae,differential_entropy_total,65,64.355,0.4777195841501699,0.45881351767358936
moae,differential_entropy_total,66,65.345,0.48013164653003737,0.45881351767358936
moae,differential_entropy_total,67,66.335,0.48216119336252966,0.45881351767358936
moae,differential_entropy_total,68,67.325,0.4834198935469089,0.45881351767358936
moae,differential_entropy_total,69,68.315,0.48398722104170927,0.45881351767358936
moae,differential_entropy_total,70,69.30499999999999,0.48404126576849965,0.45881351767358936
moae,differential_entropy_total,71,70.295,0.4844538965854547,0.45881351767358936
moae,differential_entropy_total,72,71.285,0.48514577977894763,0.45881351767358936
moae,differential_entropy_total,73,72.275,0.48552256583221964,0.45881351767358936
moae,differential_entropy_total,74,73.265,0.48528213294417305,0.45881351767358936
moae,differential_entropy_total,75,74.25500000000001,0.4852566035715244,0.45881351767358936
moae,differential_entropy_total,76,75.245,0.4852491396493467,0.45881351767358936
moae,differential_entropy_total,77,76.235,0.485402555423221,0.45881351767358936
moae,differential_entropy_total,78,77.225,0.4851679028959977,0.45881351767358936
moae,differential_entropy_total,79,78.215,0.48587200752665954,0.45881351767358936
moae,differential_entropy_total,80,79.205,0.48651806433929934,0.45881351767358936
moae,differential_entropy_total,81,80.195,0.48651937981067334,0.45881351767358936
moae,differential_entropy_total,82,81.185,0.48660610311362673,0.45881351767358936
moae,differential_entropy_total,83,82.175,0.4856359355032318,0.45881351767358936
moae,differential_entropy_total,84,83.165,0.4859305551781224,0.45881351767358936
moae,differential_entropy_total,85,84.155,0.4863188478007684,0.45881351767358936
moae,differential_entropy_total,86,85.14500000000001,0.487136157854604,0.45881351767358936
moae,differential_entropy_total,87,86.135,0.4884529233913119,0.45881351767358936
moae,differential_entropy_total,88,87.125,0.48883718036151,0.45881351767358936
moae,differential_entropy_total,89,88.115,0.48866508075891624,0.45881351767358936
moae,differential_entropy_total,90,89.105,0.48867629431704496,0.45881351767358936
moae,differential_entropy_total,91,90.095,0.48830876649260974,0.45881351767358936
moae,differential_entropy_total,92,91.08500000000001,0.4872199073522079,0.45881351767358936
moae,differential_entropy_total,93,92.07499999999999,0.48925153399092736,0.45881351767358936
moae,differential_entropy_total,94,93.065,0.4872367986876917,0.45881351767358936
moae,differential_entropy_total,95,94.055,0.4887533236093679,0.45881351767358936
moae,differential_entropy_total,96,95.045,0.48968366132234376,0.45881351767358936
moae,differential_entropy_total,97,96.035,0.4869226865683146,0.45881351767358936
moae,differential_entropy_total,98,97.025,0.48537359626507715,0.45881351767358936
moae,differential_entropy_total,99,98.015,0.4852386966333553,0.45881351767358936
moae,differential_entropy_total,100,99.005,0.48010838502435593,0.45881351767358936
moae,differential_entropy_aleatoric,0,0.0,0.4532921269510317,0.45873803824107506
moae,differential_entropy_aleatoric,1,0.990000000000002,0.4528416129503693,0.45873803824107506
moae,differential_entropy_aleatoric,2,1.980000000000004,0.452639626117143,0.45873803824107506
moae,differential_entropy_aleatoric,3,2.969999999999995,0.4524369657510845,0.45873803824107506
moae,differential_entropy_aleatoric,4,3.959999999999997,0.4522026854370037,0.45873803824107506
moae,differential_entropy_aleatoric,5,4.949999999999999,0.45187754314045925,0.45873803824107506
moae,differential_entropy_aleatoric,6,5.940000000000001,0.4515817252176986,0.45873803824107506
moae,differential_entropy_aleatoric,7,6.930000000000003,0.45139465208970847,0.45873803824107506
moae,differential_entropy_aleatoric,8,7.920000000000005,0.4509901721315778,0.45873803824107506
moae,differential_entropy_aleatoric,9,8.909999999999997,0.45070727950243955,0.45873803824107506
moae,differential_entropy_aleatoric,10,9.899999999999999,0.4502989747243257,0.45873803824107506
moae,differential_entropy_aleatoric,11,10.89,0.4500897832302261,0.45873803824107506
moae,differential_entropy_aleatoric,12,11.880000000000003,0.4498455162995517,0.45873803824107506
moae,differential_entropy_aleatoric,13,12.870000000000005,0.4494949923208713,0.45873803824107506
moae,differential_entropy_aleatoric,14,13.859999999999994,0.44916161050729275,0.45873803824107506
moae,differential_entropy_aleatoric,15,14.849999999999996,0.4487001976329552,0.45873803824107506
moae,differential_entropy_aleatoric,16,15.839999999999998,0.4484098589583535,0.45873803824107506
moae,differential_entropy_aleatoric,17,16.830000000000002,0.44801876356537634,0.45873803824107506
moae,differential_entropy_aleatoric,18,17.820000000000004,0.44775912305186794,0.45873803824107506
moae,differential_entropy_aleatoric,19,18.810000000000006,0.4474360820047021,0.45873803824107506
moae,differential_entropy_aleatoric,20,19.799999999999997,0.4470971835947367,0.45873803824107506
moae,differential_entropy_aleatoric,21,20.79,0.44667774653215575,0.45873803824107506
moae,differential_entropy_aleatoric,22,21.78,0.44628271806295006,0.45873803824107506
moae,differential_entropy_aleatoric,23,22.770000000000003,0.44564037022708186,0.45873803824107506
moae,differential_entropy_aleatoric,24,23.760000000000005,0.44553350303422734,0.45873803824107506
moae,differential_entropy_aleatoric,25,24.750000000000007,0.4450837942632423,0.45873803824107506
moae,differential_entropy_aleatoric,26,25.739999999999995,0.4445403489224248,0.45873803824107506
moae,differential_entropy_aleatoric,27,26.729999999999997,0.4440791231809204,0.45873803824107506
moae,differential_entropy_aleatoric,28,27.72,0.44350245822179873,0.45873803824107506
moae,differential_entropy_aleatoric,29,28.71,0.4431189340274615,0.45873803824107506
moae,differential_entropy_aleatoric,30,29.700000000000003,0.442647268696101,0.45873803824107506
moae,differential_entropy_aleatoric,31,30.689999999999994,0.44209419065033906,0.45873803824107506
moae,differential_entropy_aleatoric,32,31.679999999999996,0.4415777895213914,0.45873803824107506
moae,differential_entropy_aleatoric,33,32.67,0.4411097031639081,0.45873803824107506
moae,differential_entropy_aleatoric,34,33.660000000000004,0.4407901521133072,0.45873803824107506
moae,differential_entropy_aleatoric,35,34.650000000000006,0.4413070976390275,0.45873803824107506
moae,differential_entropy_aleatoric,36,35.64000000000001,0.44204518443540913,0.45873803824107506
moae,differential_entropy_aleatoric,37,36.629999999999995,0.4422539658103664,0.45873803824107506
moae,differential_entropy_aleatoric,38,37.62,0.4428647854632403,0.45873803824107506
moae,differential_entropy_aleatoric,39,38.61,0.4437077476870866,0.45873803824107506
moae,differential_entropy_aleatoric,40,39.6,0.4448253245174622,0.45873803824107506
moae,differential_entropy_aleatoric,41,40.59,0.44525956300348446,0.45873803824107506
moae,differential_entropy_aleatoric,42,41.58,0.44575999300576286,0.45873803824107506
moae,differential_entropy_aleatoric,43,42.56999999999999,0.4466412693837016,0.45873803824107506
moae,differential_entropy_aleatoric,44,43.56,0.4477165818056033,0.45873803824107506
moae,differential_entropy_aleatoric,45,44.55,0.44895784454245,0.45873803824107506
moae,differential_entropy_aleatoric,46,45.540000000000006,0.44996981270969744,0.45873803824107506
moae,differential_entropy_aleatoric,47,46.53,0.4511621733459469,0.45873803824107506
moae,differential_entropy_aleatoric,48,47.519999999999996,0.4516898907590288,0.45873803824107506
moae,differential_entropy_aleatoric,49,48.51,0.4524265822334839,0.45873803824107506
moae,differential_entropy_aleatoric,50,49.5,0.4538303655739867,0.45873803824107506
moae,differential_entropy_aleatoric,51,50.495000000000005,0.45518825024641085,0.45873803824107506
moae,differential_entropy_aleatoric,52,51.485,0.4567471182890433,0.45873803824107506
moae,differential_entropy_aleatoric,53,52.47500000000001,0.4581869373725762,0.45873803824107506
moae,differential_entropy_aleatoric,54,53.465,0.4591710544700925,0.45873803824107506
moae,differential_entropy_aleatoric,55,54.455,0.46011594244315696,0.45873803824107506
moae,differential_entropy_aleatoric,56,55.445,0.4616451283900502,0.45873803824107506
moae,differential_entropy_aleatoric,57,56.435,0.46332332218055833,0.45873803824107506
moae,differential_entropy_aleatoric,58,57.42499999999999,0.46501753070246865,0.45873803824107506
moae,differential_entropy_aleatoric,59,58.41499999999999,0.46624440703222664,0.45873803824107506
moae,differential_entropy_aleatoric,60,59.404999999999994,0.4680507705368583,0.45873803824107506
moae,differential_entropy_aleatoric,61,60.394999999999996,0.4697451400648908,0.45873803824107506
moae,differential_entropy_aleatoric,62,61.385,0.4711780675470103,0.45873803824107506
moae,differential_entropy_aleatoric,63,62.375,0.4738243170956054,0.45873803824107506
moae,differential_entropy_aleatoric,64,63.365,0.4751865083760874,0.45873803824107506
