metric,measure,point_index,abstention,risk,aurc
mose,differential_entropy_total,0,0.0,0.2488385550736882,0.24868350112517804
mose,differential_entropy_total,1,0.990000000000002,0.24865803586006327,0.24868350112517804
mose,differential_entropy_total,2,1.980000000000004,0.24875863470524795,0.24868350112517804
mose,differential_entropy_total,3,2.969999999999995,0.24885680032795668,0.24868350112517804
mose,differential_entropy_total,4,3.959999999999997,0.24892198915441002,0.24868350112517804
mose,differential_entropy_total,5,4.949999999999999,0.24890244742069847,0.24868350112517804
mose,differential_entropy_total,6,5.940000000000001,0.2489102286900283,0.24868350112517804
mose,differential_entropy_total,7,6.930000000000003,0.24901314686306855,0.24868350112517804
mose,differential_entropy_total,8,7.920000000000005,0.24891955150256417,0.24868350112517804
mose,differential_entropy_total,9,8.909999999999997,0.24891797471511412,0.24868350112517804
mose,differential_entropy_total,10,9.899999999999999,0.24884091102755537,0.24868350112517804
mose,differential_entropy_total,11,10.89,0.2489221968904543,0.24868350112517804
mose,differential_entropy_total,12,11.880000000000003,0.24899921316226784,0.24868350112517804
mose,differential_entropy_total,13,12.870000000000005,0.24898357897126072,0.24868350112517804
mose,differential_entropy_total,14,13.859999999999994,0.24898259676732312,0.24868350112517804
mose,differential_entropy_total,15,14.849999999999996,0.24884397285134846,0.24868350112517804
mose,differential_entropy_total,16,15.839999999999998,0.24893937178198683,0.24868350112517804
mose,differential_entropy_total,17,16.830000000000002,0.248956687648098,0.24868350112517804
mose,differential_entropy_total,18,17.820000000000004,0.24909410274470242,0.24868350112517804
mose,differential_entropy_total,19,18.810000000000006,0.24916663900247357,0.24868350112517804
mose,differential_entropy_total,20,19.799999999999997,0.24922731357763017,0.24868350112517804
mose,differential_entropy_total,21,20.79,0.2491867313884478,0.24868350112517804
mose,differential_entropy_total,22,21.78,0.24919436871793285,0.24868350112517804
mose,differential_entropy_total,23,22.770000000000003,0.24899698548689433,0.24868350112517804
mose,differential_entropy_total,24,23.760000000000005,0.2493118920022014,0.24868350112517804
mose,differential_entropy_total,25,24.750000000000007,0.24925491919958512,0.24868350112517804
mose,differential_entropy_total,26,25.739999999999995,0.2491894319458453,0.24868350112517804
mose,differential_entropy_total,27,26.729999999999997,0.2492481573634062,0.24868350112517804
mose,differential_entropy_total,28,27.72,0.249148950403981,0.24868350112517804
mose,differential_entropy_total,29,28.71,0.24927836081787186,0.24868350112517804
mose,differential_entropy_total,30,29.700000000000003,0.24937352236274443,0.24868350112517804
mose,differential_entropy_total,31,30.689999999999994,0.2493820687088804,0.24868350112517804
mose,differential_entropy_total,32,31.679999999999996,0.24941712228859225,0.24868350112517804
mose,differential_entropy_total,33,32.67,0.24951575255209704,0.24868350112517804
mose,differential_entropy_total,34,33.660000000000004,0.24933110265295774,0.24868350112517804
mose,differential_entropy_total,35,34.650000000000006,0.2493473574558375,0.24868350112517804
mose,differential_entropy_total,36,35.64000000000001,0.24955082567718012,0.24868350112517804
mose,differential_entropy_total,37,36.629999999999995,0.2489221212673455,0.24868350112517804
mose,differential_entropy_total,38,37.62,0.24873523270321704,0.24868350112517804
mose,differential_entropy_total,39,38.61,0.24889812594871766,0.24868350112517804
mose,differential_entropy_total,40,39.6,0.24908314894842315,0.24868350112517804
mose,differential_entropy_total,41,40.59,0.24834181405953365,0.24868350112517804
mose,differential_entropy_total,42,41.58,0.24799982639504278,0.24868350112517804
mose,differential_entropy_total,43,42.56999999999999,0.24808139608371693,0.24868350112517804
mose,differential_entropy_total,44,43.56,0.24847156070810653,0.24868350112517804
mose,differential_entropy_total,45,44.55,0.2490785872289228,0.24868350112517804
mose,differential_entropy_total,46,45.540000000000006,0.24947425602999954,0.24868350112517804
mose,differential_entropy_total,47,46.53,0.2497143953205209,0.24868350112517804
mose,differential_entropy_total,48,47.519999999999996,0.2492757811395452,0.24868350112517804
mose,differential_entropy_total,49,48.51,0.24886588145376004,0.24868350112517804
mose,differential_entropy_total,50,49.5,0.24905535366596832,0.24868350112517804
mose,differential_entropy_total,51,50.495000000000005,0.24956844006081125,0.24868350112517804
mose,differential_entropy_total,52,51.485,0.2500625862942027,0.24868350112517804
mose,differential_entropy_total,53,52.47500000000001,0.25034127992126337,0.24868350112517804
mose,differential_entropy_total,54,53.465,0.2504457033193543,0.24868350112517804
mose,differential_entropy_total,55,54.455,0.25001884187672374,0.24868350112517804
mose,differential_entropy_total,56,55.445,0.25028078685368704,0.24868350112517804
mose,differential_entropy_total,57,56.435,0.2507910928197793,0.24868350112517804
mose,differential_entropy_total,58,57.42499999999999,0.2510632941915541,0.24868350112517804
mose,differential_entropy_total,59,58.41499999999999,0.2508212647007803,0.24868350112517804
mose,differential_entropy_total,60,59.404999999999994,0.25119644303128064,0.24868350112517804
mose,differential_entropy_total,61,60.394999999999996,0.2510335795449114,0.24868350112517804
